filename, Amanita Vaginata Var - Vaginata, Amanita brunneitoxicaria, Amanita phalloides-, Amanita princeps Corner - Bas, Chlorophyllum molybdites, Lactarius glaucescens, Lentinus polychrous Berk, Lentinus squarrosulas Mont, Macrolepiota gracilenta, Mycoamaranthus cambodgensis, Pleurotus pulmonarius, Schizophylllum commune, Scleroderma sinnamariense
IMG_20230131_10221_Burst10_jpg.rf.3d0d859972a6d32d0524ab284fe76b5d.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
IMG_20230131_105942_Burst18_jpg.rf.3cd9527b1bbef8bc8806d0d9645281d7.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
IMG_20230205_210944_Burst11_jpg.rf.3d4a508351700bc720980ab87d8daac3.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_20230206_114826_Burst18_jpg.rf.3cf73ef01b0ffa3736f82989f95cb005.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
IMG_20230207_120343_Burst20_jpg.rf.3cdd35e400802715eaee25c2711eb8d9.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
IMG_20230108_085423_Burst08_jpg.rf.3cef41790290f9884ab2253d637ffd2e.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
IMG_20230205_201444_Burst20_jpg.rf.3cf512bff77e743160088b533349d5d0.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
IMG_20230131_084650_Burst20_jpg.rf.3d3e0b9ed8ca993ee249e2968eb28b75.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
IMG_20230205_213913_Burst10_jpg.rf.3d4aac06910768c0ca9bc90ca1479065.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_20230201_140645_Burst07_jpg.rf.3d5a674768031de35b5976f444724c7e.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
315759496_2379150165573027_128028449738220931_n_jpg.rf.3d3153eee5481b1de976441576c107c0.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
IMG_20230205_211027_Burst05_jpg.rf.3d4804be68337c2ebfd941f5807857e8.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
530438_284499621628346_286461687_n_jpg.rf.3d2e020f656f5b545d4a32dd5fdcb26c.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
IMG_20230205_211048_Burst07_jpg.rf.3cfd8dec50888f7c2ee71fdaf2f2e1c6.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_20230207_120410_Burst07_jpg.rf.3d56d223a07dfd52332046459ed544be.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
IMG_20230201_141410_Burst14_jpg.rf.3cd715316d79f5c8d8388ddf729e422d.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
314890456_518445100296074_4837492718541844335_n_jpg.rf.3d5d2ed7afb97e57895af99a61d90bee.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
IMG_20230206_115055_Burst05_jpg.rf.3cece972f188e9143cc178de775b3929.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
IMG_20230207_114343_Burst14_jpg.rf.3d4d65a75ddc002f84ac8a144e0af50e.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
IMG_20230131_102026_Burst17_jpg.rf.3d66d205d81e26b68521bdeb55aaf684.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
IMG_20230206_115022_Burst12_jpg.rf.3cd4a2f595267bf24481159d33dcbb6a.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
IMG_20230201_133713_Burst17_jpg.rf.3cf5ed11d9403e7c9996564ac8d6abf7.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
IMG_20230206_103253_Burst02_jpg.rf.3d94a540d7bbdf4f5ab09f356302726e.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_20230131_101742_Burst14_jpg.rf.3d385fa09c90e32c3bb28a791567bb6e.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
IMG_20230201_134153_Burst17_jpg.rf.3d66d3d2018f2090eb128f6c4eec1b7b.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
IMG_20230207_114644_Burst08_jpg.rf.3cdfda67a3d32da8de77e3d569f63484.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
IMG_20230131_101947_Burst11_jpg.rf.3d283d91867fe369224d47f1d1869e07.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
IMG_20230131_084558_Burst06_jpg.rf.3d8dd3075b7c1a5cf8f8d07d9694c891.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
IMG_20230131_084945_Burst06_jpg.rf.3d56100154d6ac6d19b358e1418a60fe.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
IMG_20230206_100809_Burst08_jpg.rf.3db4d32219260315256daaea754fa314.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_20230207_132429_Burst07-Copy_jpg.rf.3d95fdc64212893469fb07c4999f4444.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
hqdefault_jpg.rf.3db7eb943c8e79bc1d1bd36e2559e8db.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
IMG_20230201_140717_Burst15_jpg.rf.3d9f841c166b79732305d999fa1ac62c.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
IMG_20230207_120414_Burst14_jpg.rf.3dced919139dbc68c419bd062fbd1316.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
IMG_20230206_114847_Burst05_jpg.rf.3df10b620376b3b924a5dda1371006ed.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
